code,path,label,lastUpdate,lastModified,dataStart,dataEnd,count
lan_lcv_ovw,Database by themes,Land cover overview by NUTS 2 region,2025-07-25,2025-07-23,2009,2022,204709
lan_lcv_art,Database by themes,Land covered by artificial surfaces by NUTS 2 region,2025-07-24,2025-07-23,2009,2022,33221
lan_lcv_arti,Database by themes,Land covered by artificial surfaces - index,2025-07-24,2025-07-24,2009,2022,379
lan_use_ovw,Database by themes,Land use overview by NUTS 2 region,2025-07-25,2025-07-23,2009,2022,84354
lan_lcv_fao,Database by themes,Land cover for FAO Forest categories by NUTS 2 region,2025-07-25,2025-07-23,2009,2022,20049
lan_settl,Database by themes,Settlement area,2025-07-24,2025-07-24,2009,2022,959
iww_ec_invest,Database by themes,Expenditure on inland waterway transport infrastructure and freight vessels,2026-02-17,2025-12-19,1990,2024,909
iww_ac_nbac,Database by themes,Accidents in inland waterway transport,2025-09-11,2025-10-09,1995,2024,250
tran_r_net,Database by themes,"Road, rail and navigable inland waterways networks by NUTS 2 region",2026-03-04,2026-03-17,1990,2024,71485
tran_r_vehst,Database by themes,Stock of vehicles by category and NUTS 2 region,2026-03-04,2026-03-17,1990,2024,139920
tran_r_elvehst,Database by themes,Stock of electric vehicles by category and NUTS 2 region,2026-03-04,2026-03-17,2018,2024,14722
tran_r_acci,Database by themes,Victims in road accidents by NUTS 2 region,2026-03-04,2026-03-04,1990,2024,56303
tran_r_mapa_nm,Database by themes,Maritime transport of passengers by NUTS 2 region,2026-03-15,2026-03-17,1997,2024,15881
tran_r_mago_nm,Database by themes,Maritime transport of freight by NUTS 2 region,2026-03-15,2026-03-17,1997,2024,16657
tran_r_avpa_nm,Database by themes,Air transport of passengers by NUTS 2 region,2026-03-05,2026-03-17,1993,2024,24863
tran_r_avgo_nm,Database by themes,Air transport of freight by NUTS 2 region,2026-03-05,2026-03-17,1993,2024,23455
tran_r_rago,Database by themes,Railway transport - national and international railway goods transport by loading/unloading NUTS 2 region,2026-01-14,2026-03-17,2005,2020,46401
tran_r_rapa,Database by themes,Railway transport - national and international railway passengers transport by embarking/disembarking NUTS 2 region,2022-06-09,2026-03-17,2005,2020,39024
tran_r_ptstop,Database by themes,Public transport stops by NUTS 3 region - experimental statistics,2026-02-04,2026-02-04,2024,2024,51
tran_r_ptline,Database by themes,Public transport lines by NUTS 3 region - experimental statistics,2026-02-04,2026-02-04,2024,2024,51
tran_r_ptarea,Database by themes,Share of area covered by public transport vs private car in a given time period by NUTS 3 region - experimental statistics,2026-02-04,2026-02-04,2024,2024,430
tran_r_ptpop,Database by themes,Share of population reached by public transport vs private car in a given time period by NUTS 3 region - experimental statistics,2026-02-04,2026-02-04,2024,2024,430
ei_bpm6ca_q,General and regional statistics > Database by themes,Current account - quarterly data,2026-02-19,2026-02-19,1991-Q1,2025-Q4,298407
ei_bpm6fa_q,General and regional statistics > Database by themes,Financial account - quarterly data,2026-02-19,2026-02-19,1991-Q1,2025-Q4,52746
ei_bpm6ca_m,General and regional statistics > Database by themes,Current account - monthly data,2026-03-20,2026-03-20,1991-01,2026-01,250986
ei_bpm6fa_m,General and regional statistics > Database by themes,Financial account - monthly data,2026-03-20,2026-03-20,1991-01,2026-01,84986
ei_bpm6iip_q,General and regional statistics > Database by themes,International investment position - quarterly data,2026-01-20,2026-01-13,1992-Q4,2025-Q3,66069
ei_isin_m,General and regional statistics > Database by themes,Industry index by NACE Rev. 2 activity - monthly data,2026-03-21,2026-03-17,1980-01,2026-02,2833788
ei_isir_m,General and regional statistics > Database by themes,Industry growth rates by NACE Rev. 2 activity - monthly data,2026-03-21,2026-03-17,1980-01,2026-02,826507
ei_isind_q,General and regional statistics > Database by themes,Industry index by NACE Rev. 2 activity - quarterly data,2026-03-20,2026-01-28,1989-Q4,2025-Q4,703006
ei_isbu_m,General and regional statistics > Database by themes,Construction index by NACE Rev. 2 activity - monthly data,2026-03-21,2026-03-18,1980-01,2026-02,188154
ei_isbr_m,General and regional statistics > Database by themes,Construction growth rates by NACE Rev. 2 activity - monthly data,2026-03-21,2026-03-18,1980-02,2026-02,100254
ei_isbu_q,General and regional statistics > Database by themes,Construction index by NACE Rev. 2 activity - quarterly data,2026-03-21,2026-03-17,1980-Q1,2025-Q4,81422
ei_isrt_m,General and regional statistics > Database by themes,Retail trade index by NACE Rev. 2 activity - monthly data,2026-03-20,2026-02-27,1991-01,2026-01,581444
ei_isrr_m,General and regional statistics > Database by themes,Retail trade growth rates by NACE Rev. 2 activity - monthly data,2026-03-20,2026-02-27,1991-02,2026-01,272654
ei_isrt_q,General and regional statistics > Database by themes,Retail trade index by NACE Rev. 2 activity - quarterly data,2026-03-20,2026-01-29,1989-Q4,2025-Q4,15078
ei_isset_q,General and regional statistics > Database by themes,Turnover in services index - quarterly data,2026-03-20,2026-01-31,1994-Q1,2025-Q4,64974
ei_isse_q,General and regional statistics > Database by themes,Turnover in services growth rates by NACE Rev. 2 activity - quarterly data,2026-03-20,2026-01-31,1994-Q1,2025-Q4,27885
ei_isppi_q,General and regional statistics > Database by themes,Service producer prices index - quarterly data,2026-03-20,2026-01-21,1996-Q1,2025-Q4,19469
ei_isppe_q,General and regional statistics > Database by themes,Service producer prices growth rates - quarterly data,2026-03-20,2026-01-21,1996-Q1,2025-Q4,24814
ei_isen_m,General and regional statistics > Database by themes,Energy - monthly data,2026-03-20,2026-03-20,2008-01,2026-02,93950
ei_isspr_m,General and regional statistics > Database by themes,Production in services growth rates by NACE Rev.2 activity - monthly data,2026-03-20,2026-03-10,2000-02,2026-01,49525
ei_issp_m,General and regional statistics > Database by themes,Production in services index by NACE Rev.2 activity - monthly data,2026-03-20,2026-03-10,2000-01,2026-01,74882
ei_issp_q,General and regional statistics > Database by themes,Production in services index by NACE Rev.2 activity - quarterly data,2026-03-20,2026-01-31,2000-Q1,2025-Q4,16295
ei_eteu27_2020_m,General and regional statistics > Database by themes,EU27 (from 2020) international trade - monthly data,2026-03-20,2026-03-20,2002-01,2026-01,3203631
ei_etea_m,General and regional statistics > Database by themes,Euro area international trade - monthly data,2026-03-20,2026-03-20,2002-01,2026-01,1076872
ei_lmhu_m,General and regional statistics > Database by themes,Unemployment (1 000) - monthly data,2026-03-19,2026-03-12,1983-01,2026-02,263083
ei_lmhr_m,General and regional statistics > Database by themes,Unemployment rate (%) - monthly data,2026-03-19,2026-03-12,1983-01,2026-02,259640
ei_lmlc_q,General and regional statistics > Database by themes,"Labour cost index, nominal value - quarterly data",2026-03-19,2026-02-19,1996-Q1,2025-Q4,2242770
ei_lmjv_q_r2,General and regional statistics > Database by themes,Job vacancy rate - quarterly data,2026-03-20,2026-02-19,2001-Q1,2025-Q4,103909
ei_mfir_m,General and regional statistics > Database by themes,Interest rates - monthly data,2026-03-12,2026-03-12,1980-01,2026-02,22062
ei_mfrt_m,General and regional statistics > Database by themes,Euro/Ecu exchange rates - monthly data,2026-03-06,2026-02-28,1999-01,2026-02,11294
ei_mfef_m,General and regional statistics > Database by themes,Effective exchange rates indices - monthly data,2026-03-19,2026-03-19,1999-01,2026-01,59800
ei_is_m_vtg,General and regional statistics > Database by themes,Industrial production - monthly data - vintages from 2021 onwards,2026-03-12,2026-03-12,1980-01,2026-01,2586235
ei_is_m_vtgfix,General and regional statistics > Database by themes,Industrial production - monthly data - vintages from 2001 to 2020,2025-09-05,2025-09-05,1980-01,2020-10,4502499
ei_lm_m_vtg,General and regional statistics > Database by themes,Unemployment - monthly data - vintages from 2021 onwards,2026-03-12,2026-03-12,1983-01,2026-01,1493846
ei_lm_m_vtgfix,General and regional statistics > Database by themes,Unemployment - monthly data - vintages from 2001 to 2020,2024-03-26,2025-08-08,1980-01,2020-11,3093318
ei_na_q_vtg,General and regional statistics > Database by themes,Gross domestic product (GDP) - quarterly data - vintages based on ESA 2010,2026-03-12,2026-03-12,1995-Q1,2025-Q4,51834
sbs_r_nuts06_r2,General and regional statistics > Database by themes,SBS data by NUTS 2 region and NACE Rev. 2 (2008-2020),2024-03-01,2024-01-10,2008,2020,1941405
sbs_r_3k_my_r2,General and regional statistics > Database by themes,"Multiannual statistics for distributive trades (NACE Rev. 2, G) by NUTS 2 region (2009-2014)",2019-05-24,2024-01-10,2009,2014,26211
sbs_r_nuts03,General and regional statistics > Database by themes,SBS data by NUTS 2 region (NUTS 2006) and NACE Rev. 1.1 (1995-2007),2022-10-27,2023-09-23,1995,2007,1562285
sbs_cre_rreg,General and regional statistics > Database by themes,"Number of local units, persons employed and wages and salaries by NUTS 2 region (1997-2007)",2010-10-06,2024-06-07,1997,2007,3796
sbs_r_3f_my,General and regional statistics > Database by themes,Multi yearly statistics by NUTS 2 region (NUTS 2006) (1999-2004),2009-09-10,2021-02-08,1999,2004,8059
sbs_r_nuts2021,General and regional statistics > Database by themes,Enterprises by NUTS 2 region and NACE Rev.2 activity,2026-02-09,2025-09-01,2021,2023,572866
bd_hgnace_r,General and regional statistics > Database by themes,Business demography and high growth enterprises by NACE Rev. 2 activity and NUTS 3 region,2026-03-13,2025-11-19,2013,2023,1405544
bd_size_r,General and regional statistics > Database by themes,Business demography by size class and NUTS 3 region,2026-03-13,2025-11-19,2013,2023,514641
bd_salge1_nace_r,General and regional statistics > Database by themes,Employer business demography by NACE Rev. 2 activity and NUTS 3 region,2026-03-13,2025-11-19,2013,2023,1269568
bd_salge1_size_r,General and regional statistics > Database by themes,Employer business demography by size class and NUTS 3 region,2026-03-13,2025-11-19,2013,2023,369507
nrg_chddr2_a,General and regional statistics > Database by themes,Cooling and heating degree days by NUTS 3 region - annual data,2025-03-28,2025-03-28,1979,2024,140705
nrg_chddr2_m,General and regional statistics > Database by themes,Cooling and heating degree days by NUTS 3 region - monthly data,2025-03-28,2025-03-28,1979-01,2024-12,1688389
ilc_peps11n,General and regional statistics > Database by themes,Persons at risk of poverty or social exclusion by NUTS 2 region,2026-03-13,2025-12-22,2015,2025,2938
ilc_li41,General and regional statistics > Database by themes,At-risk-of-poverty rate by NUTS 2 region,2026-03-13,2025-12-22,2003,2025,4695
ilc_lvhl21n,General and regional statistics > Database by themes,Persons living in households with very low work intensity by NUTS 2 region (population aged 0 to 64 years),2026-03-13,2025-12-22,2014,2025,2941
ilc_mdsd18,General and regional statistics > Database by themes,Severe material and social deprivation by NUTS 2 region,2026-03-13,2025-12-22,2014,2025,2806
ilc_mdes01_r,General and regional statistics > Database by themes,Inability to keep home adequately warm by NUTS 2 region,2026-03-13,2026-01-23,2021,2025,1497
ilc_mdes03_r,General and regional statistics > Database by themes,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS 2 region",2026-03-13,2026-01-23,2021,2025,1512
ilc_mdes04_r,General and regional statistics > Database by themes,Inability to face unexpected financial expenses by NUTS 2 region,2026-03-13,2026-01-23,2021,2025,1560
ilc_mdes05_r,General and regional statistics > Database by themes,"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS 2 region",2026-03-13,2026-01-23,2021,2025,1512
ilc_lvho07_r,General and regional statistics > Database by themes,Housing cost overburden rate by NUTS 2 region,2026-03-13,2026-01-23,2021,2025,1391
