delivery_date,price
2024-01-01,78.46
2024-01-02,81.78
2024-01-03,80.92
2024-01-04,79.78
2024-01-05,75.18
2024-01-06,75.11
2024-01-07,83.22
2024-01-08,87.42
2024-01-09,95.50
2024-01-10,99.03
2024-01-11,103.62
2024-01-12,107.12
2024-01-13,99.64
2024-01-14,107.43
2024-01-15,113.22
2024-01-16,119.06
2024-01-17,111.83
2024-01-18,104.33
2024-01-19,101.99
2024-01-20,102.18
2024-01-21,107.00
2024-01-22,109.67
2024-01-23,115.69
2024-01-24,114.66
2024-01-25,119.24
2024-01-26,124.22
2024-01-27,122.74
2024-01-28,135.38
2024-01-29,140.89
2024-01-30,150.06
2024-01-31,148.13
2024-02-01,145.28
2024-02-02,144.59
2024-02-03,145.10
2024-02-04,149.80
2024-02-05,151.96
2024-02-06,149.70
2024-02-07,144.13
2024-02-08,140.93
2024-02-09,147.94
2024-02-10,142.52
2024-02-11,143.17
2024-02-12,144.68
2024-02-13,134.46
2024-02-14,133.24
2024-02-15,139.37
2024-02-16,125.37
2024-02-17,121.34
2024-02-18,118.43
2024-02-19,111.10
2024-02-20,111.52
2024-02-21,108.46
2024-02-22,96.89
2024-02-23,98.98
2024-02-24,100.07
2024-02-25,102.77
2024-02-26,108.41
2024-02-27,107.59
2024-02-28,105.33
2024-02-29,94.59
2024-03-01,95.41
2024-03-02,88.94
2024-03-03,83.53
2024-03-04,73.37
2024-03-05,65.12
2024-03-06,59.65
2024-03-07,65.26
2024-03-08,51.14
2024-03-09,40.66
2024-03-10,40.57
2024-03-11,47.93
2024-03-12,50.32
2024-03-13,38.08
2024-03-14,22.38
2024-03-15,24.18
2024-03-16,19.66
2024-03-17,13.09
2024-03-18,19.35
2024-03-19,26.61
2024-03-20,28.44
2024-03-21,31.04
2024-03-22,34.99
2024-03-23,46.13
2024-03-24,51.62
2024-03-25,56.70
2024-03-26,62.14
2024-03-27,55.05
2024-03-28,65.21
2024-03-29,73.54
2024-03-30,79.43
2024-03-31,70.41
2024-04-01,69.49
2024-04-02,77.50
2024-04-03,69.61
2024-04-04,71.51
2024-04-05,80.62
2024-04-06,75.72
2024-04-07,88.30
2024-04-08,94.47
2024-04-09,96.34
2024-04-10,100.95
2024-04-11,107.38
2024-04-12,110.50
2024-04-13,119.61
2024-04-14,117.70
2024-04-15,117.09
2024-04-16,125.01
2024-04-17,126.63
2024-04-18,122.59
2024-04-19,129.27
2024-04-20,138.83
2024-04-21,136.68
2024-04-22,128.68
2024-04-23,127.89
2024-04-24,126.77
2024-04-25,124.51
2024-04-26,132.22
2024-04-27,125.10
2024-04-28,131.47
2024-04-29,122.45
2024-04-30,116.09
2024-05-01,118.04
2024-05-02,122.79
2024-05-03,125.74
2024-05-04,125.44
2024-05-05,123.79
2024-05-06,122.06
2024-05-07,122.77
2024-05-08,118.87
2024-05-09,117.62
2024-05-10,118.10
2024-05-11,115.11
2024-05-12,116.70
2024-05-13,117.11
2024-05-14,126.21
2024-05-15,125.26
2024-05-16,119.86
2024-05-17,114.89
2024-05-18,112.18
2024-05-19,115.23
2024-05-20,110.86
2024-05-21,110.99
2024-05-22,120.01
2024-05-23,102.80
2024-05-24,94.45
2024-05-25,94.52
2024-05-26,95.74
2024-05-27,96.24
2024-05-28,92.96
2024-05-29,96.45
2024-05-30,97.94
2024-05-31,94.86
2024-06-01,109.74
2024-06-02,112.42
2024-06-03,109.88
2024-06-04,110.32
2024-06-05,110.22
2024-06-06,111.33
2024-06-07,96.66
2024-06-08,95.63
2024-06-09,103.76
2024-06-10,99.01
2024-06-11,101.02
2024-06-12,109.29
2024-06-13,117.10
2024-06-14,128.82
2024-06-15,121.48
2024-06-16,122.29
2024-06-17,123.21
2024-06-18,129.95
2024-06-19,139.50
2024-06-20,126.38
2024-06-21,135.86
2024-06-22,130.05
2024-06-23,136.96
2024-06-24,130.71
2024-06-25,134.35
2024-06-26,143.98
2024-06-27,145.38
2024-06-28,148.66
2024-06-29,155.40
2024-06-30,158.00
2024-07-01,159.01
2024-07-02,169.54
2024-07-03,176.93
2024-07-04,176.03
2024-07-05,193.12
2024-07-06,186.61
2024-07-07,192.22
2024-07-08,190.50
2024-07-09,190.92
2024-07-10,194.53
2024-07-11,195.00
2024-07-12,197.73
2024-07-13,187.24
2024-07-14,176.63
2024-07-15,178.57
2024-07-16,170.84
2024-07-17,162.54
2024-07-18,151.42
2024-07-19,156.56
2024-07-20,158.45
2024-07-21,164.58
2024-07-22,156.15
2024-07-23,153.27
2024-07-24,143.49
2024-07-25,145.10
2024-07-26,151.64
2024-07-27,143.30
2024-07-28,149.69
2024-07-29,152.69
2024-07-30,148.76
2024-07-31,134.16
2024-08-01,139.92
2024-08-02,136.79
2024-08-03,130.77
2024-08-04,130.91
2024-08-05,131.29
2024-08-06,138.39
2024-08-07,130.57
2024-08-08,135.91
2024-08-09,143.58
2024-08-10,151.26
2024-08-11,149.39
2024-08-12,144.38
2024-08-13,150.19
2024-08-14,150.83
2024-08-15,151.78
2024-08-16,160.78
2024-08-17,159.89
2024-08-18,147.04
2024-08-19,145.89
2024-08-20,136.16
2024-08-21,142.69
2024-08-22,146.41
2024-08-23,144.75
2024-08-24,146.88
2024-08-25,154.22
2024-08-26,157.20
2024-08-27,167.78
